Item Code,Item,Crop Peoples et al.
821,"Other fibre crops, raw, n.e.c.",
619,"Other fruits, n.e.c.",
1166,"Other meat n.e.c. (excluding mammals), fresh, chilled or frozen",
234,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",
339,"Other oil seeds, n.e.c.",
542,Other pome fruits,
211,Other pulses n.e.c.,Other
1150,Other rodents,
723,"Other stimulant, spice and aromatic crops, n.e.c.",
541,Other stone fruits,
161,Other sugar crops n.e.c.,
603,"Other tropical fruits, n.e.c.",
463,"Other vegetables, fresh n.e.c.",
256,Palm kernels,
257,Palm oil,
600,Papayas,
534,Peaches and nectarines,
521,Pears,
187,"Peas, dry",Other
417,"Peas, green",
687,"Pepper (Piper spp.), raw",
748,"Peppermint, spearmint",
587,Persimmons,
1043,"Pig fat, rendered",
197,"Pigeon peas, dry",Pigeonpea
574,Pineapples,
223,"Pistachios, in shell",
489,Plantains and cooking bananas,
536,Plums and sloes,
507,Pomelos and grapefruits,
296,Poppy seed,
116,Potatoes,
2029,Poultry Birds,
1726,"Pulses, Total",
394,"Pumpkins, squash and gourds",
754,"Pyrethrum, dried flowers",
523,Quinces,
92,Quinoa,
1140,Rabbits and hares,
788,"Ramie, raw or retted",
270,Rape or colza seed,
271,"Rapeseed or canola oil, crude",
547,Raspberries,
162,Raw cane or beet sugar (centrifugal only),
957,Raw hides and skins of buffaloes,
919,Raw hides and skins of cattle,
1025,Raw hides and skins of goats or kids,
995,Raw hides and skins of sheep or lambs,
951,Raw milk of buffalo,
1130,Raw milk of camel,
882,Raw milk of cattle,
1020,Raw milk of goats,
982,Raw milk of sheep,
1186,Raw silk (not thrown),
27,Rice,
30,"Rice, paddy (rice milled equivalent)",
1720,"Roots and Tubers, Total",
71,Rye,
280,Safflower seed,
281,"Safflower-seed oil, crude",
328,"Seed cotton, unginned",
289,Sesame seed,
976,Sheep,
1807,Sheep and Goat Meat,
1749,Sheep and Goats,
979,"Sheep fat, unrendered",
987,"Shorn wool, greasy, including fleece-washed shorn wool",
1185,Silk-worm cocoons suitable for reeling,
789,"Sisal, raw",
898,Skim milk and whey powder,
888,Skim milk of cows,
1809,"Skim Milk&Buttermilk,Dry",
896,"Skim milk, condensed",
895,"Skim milk, evaporated",
1176,"Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails",
83,Sorghum,
530,Sour cherries,
237,Soya bean oil,
236,Soya beans,Soybean
373,Spinach,
544,Strawberries,
423,String beans,
157,Sugar beet,
156,Sugar cane,
1723,Sugar Crops Primary,
267,Sunflower seed,
268,"Sunflower-seed oil, crude",
122,Sweet potatoes,
1034,Swine / pigs,
1225,Tallow,
305,Tallowtree seeds,
495,"Tangerines, mandarins, clementines",
136,Taro,
667,Tea leaves,
388,Tomatoes,
1729,"Treenuts, Total",
97,Triticale,
777,"True hemp, raw or retted",
275,Tung nuts,
1079,Turkeys,
826,Unmanufactured tobacco,
692,"Vanilla, raw",
1735,Vegetables Primary,
205,Vetches,Other
222,"Walnuts, in shell",
567,Watermelons,
15,Wheat,
890,"Whey, condensed",
900,"Whey, dry",
897,Whole milk powder,
889,"Whole milk, condensed",
894,"Whole milk, evaporated",
564,Wine,
137,Yams,
135,Yautia,
891,Yoghurt,
