Item Group Code,Item Group,Item Code,Item,HS Code,HS07 Code,HS12 Code,CPC Code
1714,Crops Primary,667,Tea,,"090210, 090220, 090230, 090240","090210, 090220, 090230, 090240",1620
1714,Crops Primary,826,"Tobacco, unmanufactured",,"240110, 240120, 240130","240110, 240120, 240130",1970
1714,Crops Primary,388,Tomatoes,,70200,70200,1234
1714,Crops Primary,97,Triticale,,100890,100860,1191
1714,Crops Primary,275,Tung nuts,,120799,120799,1499.02
1714,Crops Primary,692,Vanilla,,90500,"090510, 090520",1658
1714,Crops Primary,463,"Vegetables, fresh nes",,"070690, 070940, 070990","070690, 070940, 070999",1290.9
1714,Crops Primary,420,"Vegetables, leguminous nes",,70890,70890,1243
1714,Crops Primary,205,Vetches,,121490,121490,1709.01
1714,Crops Primary,222,"Walnuts, with shell",,80231,80231,1376
1714,Crops Primary,567,Watermelons,,80711,80711,1221
1714,Crops Primary,15,Wheat,,"100110, 100190","100111, 100119, 100191, 100199",111
1714,Crops Primary,137,Yams,,71490,71430,1540
1714,Crops Primary,135,Yautia (cocoyam),,71490,71450,1591
